6295-244435-0032:1.0,0.9638:0
1462-170142-0041:1.0,0.9258:0
5536-43359-0013:0.9622,0.9178:0
174-50561-0017:1.0,1.0:0
6241-61943-0018:1.0,0.9467:0
1993-147965-0008:1.0,1.0:0
6313-66125-0022:1.0,0.8457:0
6295-64301-0007:1.0,1.0:0
2277-149897-0015:0.8053,0.7387:0
174-50561-0019:1.0,1.0:0
2428-83699-0021:1.0,1.0:0
1988-147956-0028:1.0,0.9461:0
251-118436-0016:1.0,0.9845:0
2428-83699-0011:1.0,1.0:0
3576-138058-0009:0.9826,0.9126:0
1462-170138-0008:0.9256,0.9363:0
5895-34629-0028:1.0,0.9581:0
6313-76958-0016:0.946,1.0:0
5338-24640-0002:0.9203,0.8154:0
2412-153954-0002:1.0,0.954:0
2902-9006-0006:1.0,1.0:0
3170-137482-0038:1.0,0.9552:0
2035-147961-0009:1.0,0.9456:0
3000-15664-0005:1.0,0.9079:0
6313-66125-0004:0.9123,0.7893:0
6345-93302-0009:1.0,0.9978:0
3752-4943-0015:1.0,1.0:0
1919-142785-0050:1.0,1.0:0
3081-166546-0028:1.0,1.0:0
2035-147960-0003:1.0,0.8042:0
6241-61943-0014:1.0,0.9873:0
2035-147961-0036:1.0,1.0:0
3536-8226-0000:1.0,0.9804:0
3752-4943-0005:1.0,0.84:0
1919-142785-0026:1.0,0.9615:0
2035-147961-0019:1.0,0.9209:0
6295-244435-0007:0.9667,0.8622:0
5895-34629-0002:1.0,1.0:0
6241-66616-0014:1.0,1.0:0
6241-61946-0000:1.0,0.914:0
5694-64029-0018:1.0,1.0:0
3081-166546-0040:1.0,1.0:0
5536-43359-0011:0.9214,0.9073:0
1272-128104-0007:0.9335,0.9335:0
1988-147956-0026:1.0,1.0:0
6241-66616-0010:0.9693,0.9674:0
1919-142785-0018:1.0,1.0:0
2803-154320-0000:0.9702,0.9555:0
2277-149874-0002:1.0,1.0:0
6241-61943-0008:0.9833,0.8752:0
3752-4943-0030:1.0,0.9494:0
2803-161169-0001:0.9732,0.855:0
3000-15664-0018:1.0,0.7845:0
2803-154328-0000:0.9545,0.9035:0
3752-4944-0033:1.0,1.0:0
